FOOD,DRINK
Mac and Cheese ,Pilsner Beer
Fried Chicken ,Iced tea
Fried Chicken ,Sweet Tea
Pulled Pork Sandwich,Craft Beer
Clam Chowder,Chardonnay
Loster Roll,Muscadet
Steak Frites,Red Wine (Bordeaux)
Croque Monsieur,White Wine (Sauvignon Blanc)
Boeuf Bourguingon ,Red Wine (Pinot Noir)
Quiche Lorraine,Champagne 
Ratatouille,Rosé Wine
French Onion Soup,Monaco
Crepes (Nutella),Espresso
Crepes (Nutella),Milk 
Coq au Vin,Merlot
Escargot,Chablis
Duck Confit,Red Wine (Pinot Noir)
Duck Confit,Cider
Moules Marinieres (Mussels),Dry Riesling
Beef Wellington ,Cabernet Sauvignon
Pizza Margherita,Procescco
Spaghetti Carbonara,Pinot Grigio
Lasagna,Sangiovese
Fettuccine Alfredo,Chardonnay
Margherita Pizza,Negroni
Penne Arrabiata,Chianti
Ravioli(Spinach & Ricotta) ,Moscato
Tiramisu,Espresso Martini
Tiramisu,Espresso
Risotto (Mushroom),Chardonnay
Ossobuco,Barolo
Eggplant Parmesan,Shiraz
Polenta,Zinfandel
Pasta Puttanesca,Syrah
Paella (Seafood),Albarino
Pealla (Meat),Rioja
Tortilla Espanola,Vermouth
Churros,Hot Chocolate
Gazpacho,Sangria
Patatas Bravas,Tempranillo
Serrano Ham ,Dry Sherry
Croquetas (Spanish Ham),Cava
Pisto Manchego,Red Wine (Garnacha)
Fried Calamari (Spanish Style),Verdejo
Empanadas (Beef),Malbec
Arepas (Cheese),Aguardiente
Bandeja Paisa (Colombian),Rum
Churrasco (Brazilian),Caipirinha
Feijoada,Cachaca
Moqueca (Brazilian Fish Stew),Caipirinha
Ceviche (Peruvian),Pisco Sour
Anticuchos (Beef Skewers),Pisco 
Tacos (Al Pastor),Margarita
Burritos (Beef),Craft Beer
Enchiladas,Mojito
Fajitas (Chicken),Tequila Sunrise
Guacamole & Chips,Lager Beer
Chili Con Carne,IPA Beer
Jambalaya,Sazerac
Po'Boy (Shrimp),Lemonade
Gumbo,Iced Tea
Crawfish Etouffee,Pale Ale 
Red Beans and Rice,Lager Beer
Fried Catfish,Sweet Tea
Tuna Poke,Sauvignon Blanc
Ahi Poke,Chardonnay
Shrimp Tacos,Paloma
Grilled Fish Tacos,Gin and Tonic 
Pork Belly Banh Mi,Iced Coffee
Vietnamese Pho (Beef),Jasmine Tea
Pho (Chicken),Iced Green Tea
Banh Xeo (Vietnamese Pancake),Sparkling Water
Bun Cha (Vietnamese BBQ),Coconut Water
Korean BBQ (Beef),Soju
Kimchi,Rice Wine
Fried Chicken (Korean),Sake
Bibimbap,Green Tea
Japchae (Korean Stir Fry Noodles),Lemonade
Gimbap,Soju
Spicy Tuna Roll,Sake
California Roll,Sparkling Water
Dragon Roll ,Soju 
Ebi Tempura,Green Tea
Edamame,Sake
Miso Soup,Green Tea
Chicken Katsu,Iced Gree Tea
Beef Teriyaki,Ginger Ale
Tempura Shrimp,Chardonnay
Ramen (Shoyu),Iced Gree Tea
Shabu-Shabu,Sake
Currywurst (German Sausage),Weizenbier
Bratwurst,Pilsner Beer
Wiener Schnitzel,Dry Riesling
Spaetzle (German Noodles),Gruner Veltliner
Sauerbraten (Beef),Red Wine (Zinfandel)
Pretzels ,Lemonade
